filename,prediction
apple blacrot (1).JPG,Apple___Black_rot
apple blacrot (2).JPG,Apple___Black_rot
apple blacrot (3).JPG,Apple___Black_rot
apple cedar rust (1).JPG,Apple___Cedar_apple_rust
apple cedar rust (2).JPG,Apple___Cedar_apple_rust
apple cedar rust (3).JPG,Apple___Cedar_apple_rust
apple healthy (1).JPG,Apple___healthy
apple healthy (2).JPG,Apple___healthy
apple healthy (3).JPG,Apple___healthy
apple scab (1).JPG,Apple___Apple_scab
apple scab (2).JPG,Apple___Apple_scab
apple scab (3).JPG,Apple___Apple_scab
cherry healthy (1).JPG,Cherry_(including_sour)___healthy
cherry healthy (2).JPG,Cherry_(including_sour)___healthy
cherry healthy (3).JPG,Cherry_(including_sour)___healthy
cherry mildew (1).JPG,Cherry_(including_sour)___Powdery_mildew
cherry mildew (2).JPG,Cherry_(including_sour)___Powdery_mildew
cherry mildew (3).JPG,Cherry_(including_sour)___Powdery_mildew
peach bactery (1).JPG,Peach___Bacterial_spot
peach bactery (2).JPG,Peach___Bacterial_spot
peach bactery (3).JPG,Peach___Bacterial_spot
peach healthy (1).JPG,Peach___healthy
peach healthy (2).JPG,Peach___healthy
peach healthy (3).JPG,Apple___healthy
pepper blackspot (1).JPG,"Pepper,_bell___Bacterial_spot"
pepper blackspot (2).JPG,"Pepper,_bell___Bacterial_spot"
pepper blackspot (3).JPG,"Pepper,_bell___Bacterial_spot"
pepper healthy (1).JPG,"Pepper,_bell___healthy"
pepper healthy (2).JPG,"Pepper,_bell___healthy"
pepper healthy (3).JPG,"Pepper,_bell___healthy"
potato early blight (1).JPG,Potato___Early_blight
potato early blight (2).JPG,Potato___Early_blight
potato early blight (3).JPG,Potato___Early_blight
potato healthy (1).JPG,Potato___healthy
potato healthy (2).JPG,Potato___healthy
potato healthy (3).JPG,Potato___healthy
potato late blight (1).JPG,Potato___Late_blight
potato late blight (2).JPG,Potato___Late_blight
potato late blight (3).JPG,Potato___Late_blight
stroberi healthy (1).JPG,Strawberry___healthy
stroberi healthy (2).JPG,Strawberry___healthy
stroberi healthy (3).JPG,Strawberry___healthy
stroberi scorch (1).JPG,Strawberry___Leaf_scorch
stroberi scorch (2).JPG,Strawberry___Leaf_scorch
stroberi scorch (3).JPG,Strawberry___Leaf_scorch
tomato bacterial spot (1).JPG,Tomato___Bacterial_spot
tomato bacterial spot (2).JPG,Tomato___Bacterial_spot
tomato bacterial spot (3).JPG,Tomato___Bacterial_spot
tomato curl (1).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
tomato curl (2).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
tomato curl (3).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
tomato early blight (1).JPG,Tomato___Early_blight
tomato early blight (2).JPG,Tomato___Late_blight
tomato early blight (3).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
tomato healthy (1).JPG,Tomato___healthy
tomato healthy (2).JPG,Tomato___healthy
tomato healthy (3).JPG,Tomato___healthy
tomato late blight (1).JPG,Tomato___Late_blight
tomato late blight (2).JPG,Tomato___Late_blight
tomato late blight (3).JPG,Tomato___Late_blight
tomato septoria (1).JPG,Tomato___Septoria_leaf_spot
tomato septoria (2).JPG,Tomato___Septoria_leaf_spot
tomato septoria (3).JPG,Tomato___Septoria_leaf_spot
